Crop,Area_2001,Prod_2001,Ratio_2001,Area_2002,Prod_2002,Ratio_2002,Area_2003,Prod_2003,Ratio_2003,Area_2004,Prod_2004,Ratio_2004,Area_2005,Prod_2005,Ratio_2005,Area_2006,Prod_2006,Ratio_2006,Area_2007,Prod_2007,Ratio_2007,Area_2008,Prod_2008,Ratio_2008,Area_2009,Prod_2009,Ratio_2009,Area_2010,Prod_2010,Ratio_2010,Area_2011,Prod_2011,Ratio_2011,Area_2012,Prod_2012,Ratio_2012 
KURAKKAN,4986,3774,0.756919374,4830,3663,0.758385093,6235,4544,0.728789094,4226,4026,0.952673923,4975,5531,1.111758794,4781,5424,1.134490692,4306,4566,1.060380864,5023,5418,1.078638264,5023.859454,5571,1.10890841,5539.922603,6209,1.120773781,4198.587136,4274,1.017961486,4298,5008,1.165193113
MAIZE,23734,26661,1.123325187,20329,23244,1.143391215,23449,25745,1.097914623,20275,31449,1.551122072,23905,36342,1.520267726,26310,40376,1.534625618,27095,45068,1.663332718,42864,91046,2.124066816,44786.12955,114655,2.560056007,48886.7916,127761,2.613405295,41905.79714,104491,2.493473627,50881,165999,3.262494841
SORGHUM,38,26,0.684210526,178,116,0.651685393,203,133,0.655172414,274,203,0.740875912,158,149,0.943037975,121,111,0.917355372,96,111,1.15625,124,153,1.233870968,108.2302363,135,1.247340897,55.81095872,78,1.397574989,37.28398624,52,1.394700654,44,59,1.340909091
MENERI,61,41,0.672131148,69,54,0.782608696,145,96,0.662068966,100,81,0.81,42,34,0.80952381,39,31,0.794871795,46,33,0.717391304,29,11,0.379310345,9.61,6,0.624349636,22.73,10,0.439947206,9.71,6,0.61791967,6,4,0.666666667
GREEN GRAM,8438,7589,0.89938374,8501,7881,0.927067404,9603,8560,0.891388108,6438,5881,0.913482448,6889,6520,0.946436348,6174,5760,0.932944606,6093,5846,0.959461677,7123,6543,0.918573635,6674.285448,7516,1.126113059,6888.135591,7594,1.102475394,5466.857804,5786,1.058377629,6662,7740,1.161813269
COWPEA,7762,7098,0.914455037,8828,7868,0.891255097,10128,9129,0.901362559,6592,6105,0.926122573,7262,7040,0.969429909,6960,6766,0.972126437,6231,6704,1.075910769,7655,7598,0.992553886,8487.903724,10062,1.185451712,7855.976105,8143,1.036535739,6186.357904,6642,1.073652722,7327,9483,1.294254129
SOYA BEANS,285,224,0.785964912,179,146,0.815642458,355,291,0.81971831,178,236,1.325842697,359,611,1.701949861,427,718,1.681498829,289,486,1.6816609,219,314,1.433789954,424.8311251,796,1.873685691,708.7298337,1353,1.909049028,222.7290975,313,1.405294609,166,236,1.421686747
BLACK GRAM,5642,4476,0.793335697,5492,4185,0.76201748,6245,4959,0.79407526,4303,4448,1.03369742,4402,4763,1.082008178,5674,6141,1.082305252,5516,6218,1.127266135,7025,7577,1.078576512,7495.620015,6595,0.879847162,9080.768215,9241,1.017645179,7610.50207,4677,0.614545526,9860,9175,0.930527383
DHALL,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,6,10,1.666666667,2,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GINGELLY,3609,2086,0.577999446,3650,2215,0.606849315,4317,2509,0.581190642,2965,1795,0.60539629,3367,2079,0.617463617,3470,2193,0.631988473,3319,2291,0.690268153,2871,1469,0.511668408,2411.656674,1477,0.612442068,2602.782931,1701,0.653531257,1823.791527,1297,0.711155843,2650,2182,0.823396226
