Crop,Area_2001,Prod_2001,Ratio_2001,Area_2002,Prod_2002,Ratio_2002,Area_2003,Prod_2003,Ratio_2003,Area_2004,Prod_2004,Ratio_2004,Area_2005,Prod_2005,Ratio_2005,Area_2006,Prod_2006,Ratio_2006,Area_2007,Prod_2007,Ratio_2007,Area_2008,Prod_2008,Ratio_2008,Area_2009,Prod_2009,Ratio_2009,Area_2010,Prod_2010,Ratio_2010,Area_2011,Prod_2011,Ratio_2011,Area_2012,Prod_2012,Ratio_2012 
KURAKKAN,650,422,0.649230769,647,408,0.630602782,1123,725,0.645592164,887,643,0.724915445,1232,916,0.743506494,1129,872,0.772364925,1101.2,891,1.235914703,1056,1093,0.966148216,878.3901534,862,0.981340691,1025.18039,1098,1.071031021,1051.864757,1137,1.080937442,1614,1663,1.030359356
MAIZE,1978,2094,1.058645096,3084,3173,1.028858625,3611,3900,1.080033232,3146,3752,1.192625556,4496,5462,1.214857651,5692,7145,1.255270555,7086.3,11370,0.623245383,8744,21241,0.411656702,6070.728089,15114,2.489651946,8731.445785,33933,3.886297967,8639.23154,33306,3.855204001,8648,36157,4.180966698
SORGHUM,27,24,0.888888889,37,32,0.864864865,75,68,0.906666667,75,66,0.88,84,76,0.904761905,78,55,0.705128205,56.14337515,53,1.059308965,47,61,0.770491803,31.27615297,38,1.214983187,21,23,1.095238095,34,44,1.294117647,22,30,1.363636364
MENERI,39,26,0.666666667,23,15,0.652173913,49,32,0.653061224,31,20,0.64516129,36,24,0.666666667,21,14,0.666666667,18.59,14,1.327857143,23,19,1.210526316,18.08,14,0.774336283,7.21,7,0.970873786,20,12,0.6,28,22,0.785714286
GREEN GRAM,2627,2127,0.809668824,2747,2443,0.889333819,2413,2045,0.847492748,2169,1927,0.888427847,2754,2477,0.899419027,2526,2215,0.876880443,2672.603315,2667,1.002100981,2233,2335,0.956316916,1895.379941,1742,0.919076942,3395.411843,4109,1.210162475,3868.364448,5052,1.305978293,3093,3856,1.246686065
COWPEA,3030,2741,0.904620462,2948,2568,0.87109905,3708,3771,1.016990291,3073,3052,0.993166287,4098,4136,1.009272816,3690,3348,0.907317073,4403.180313,4151,1.060751702,4496,4354,1.032613689,2950.954014,3423,1.159963857,3013.848264,3466,1.150024718,3081.452355,3811,1.236754478,3714,5061,1.362681745
SOYA BEANS,362,398,1.099447514,1078,1010,0.936920223,2192,2666,1.216240876,1116,1654,1.482078853,2721,4379,1.609334803,2635,4459,1.692220114,2566.917823,4313,0.595158317,1007,2718,0.37049301,1229.030405,2992,2.434439366,3791,6168,1.627011343,2228.000099,3534,1.586175872,1351,1433,1.060695781
BLACK GRAM,719,651,0.9054242,992,909,0.916330645,935,982,1.05026738,437,511,1.169336384,1808,2160,1.194690265,1130,1329,1.176106195,1297.102813,1529,0.848334083,1293,1900,0.680526316,371.5993889,476,1.280949362,726.6174585,750,1.032179989,1057.787628,1105,1.044633129,982,694,0.706720978
DHALL,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GINGELLY,3230,2119,0.656037152,2932,1855,0.632673943,4487,2977,0.663472253,4018,2553,0.635390742,6282,4082,0.64979306,5867,3776,0.643599795,5940.865605,4013,1.480405085,6641,4868,1.364215283,8468.80393,7048,0.832230863,15793.85263,15246,0.965312287,12538.65886,9996,0.797214448,12908,10319,0.799426712
GROUND NUTS,2027,1254,0.618648249,1960,1173,0.598469388,2400,1414,0.589166667,2423,1463,0.603796946,3289,2039,0.619945272,3611,2490,0.689559679,3128.820647,2476,1.263659389,2549,2498,1.020416333,2125.213953,2874,1.35233443,2150.318362,3092,1.437926613,2982.713008,7303,2.448442066,3211,7175,2.234506384
MANIOC,11376,98067,8.620516878,11345,94892,8.36421331,10568,91181,8.628028009,10079,90317,8.96090882,10483,94180,8.984069446,10283,93777,9.119614898,10072.30841,93724,0.107467761,9948,100138,0.099342907,9157.571528,99140,10.82601427,9394.137219,104126,11.08414723,10171.30272,116931,11.49616752,9597,114496,11.93039492
SWEET POTATOES,3721,23290,6.259070142,3549,22223,6.261763877,3366,20004,5.942959002,3147,19705,6.261518907,3225,20189,6.260155039,3427,21454,6.260285964,3521.441083,27267,0.129146627,2964,23582,0.125689085,2491.908293,20278,8.137538631,2605.075849,20680,7.938348516,2865.167273,23516,8.207548726,2385,17930,7.517819706
POTATOES,2186,30896,14.13357731,3449,48379,14.02696434,2904,35797,12.32679063,2963,50793,17.14242322,2576,37737,14.64945652,2837,43938,15.48748678,3123.8,45905,0.068049232,3251,51389,0.063262566,2252.592084,34253,15.20603763,1950.705868,25819,13.23572171,2699.45,37077,13.7350201,2350,39975,17.0106383
RED ONIONS,2689,21168,7.872071402,2664,19940,7.484984985,2339,18343,7.842240274,2352,20898,8.885204082,3100,28154,9.081935484,3513,34886,9.930543695,2879.411721,29160,0.098745258,2391,24758,0.096574844,2322.620328,25193,10.84680079,2705.12182,30077,11.11853809,3393.047845,38395,11.31578503,2921,28257,9.673741869
BIG ONIONS,2737,31648,11.56302521,2770,31031,11.20252708,2637,31655,12.00417141,2999,36991,12.33444481,4367,54171,12.4046256,6501,71293,10.9664667,6737.811121,89684,0.075128352,3871,55497,0.069751518,4898.882622,80360,16.40374065,3915.347361,56956,14.54685747,3244.23894,43988,13.55880403,4885,64740,13.25281474
CHILLIES (GREEN),5580,14344,2.570609319,5309,14380,2.708608024,4822,12850,2.664869349,4125,11216,2.719030303,6267,17343,2.7673528,4787,14956,3.124294966,5034.704642,16949,0.297050247,4920,17598,0.279577225,4074.980487,13168,3.231426517,4399.086983,17161,3.901036753,5081.193809,18622,3.664886777,4739,20100,4.241401139
